energy_center_MeV,annihil,compt,conv,primary,other,total
1.222500,0.000000,1.000000,1.000000,20.000000,2.000000,24.000000
1.227500,2.000000,3.000000,1.000000,17.000000,3.000000,26.000000
1.232500,0.000000,0.000000,0.000000,13.000000,3.000000,16.000000
1.237500,0.000000,1.000000,0.000000,16.000000,5.000000,22.000000
1.242500,0.000000,1.000000,1.000000,14.000000,2.000000,18.000000
1.247500,2.000000,0.000000,1.000000,25.000000,4.000000,32.000000
1.252500,0.000000,0.000000,0.000000,8.000000,8.000000,16.000000
1.257500,2.000000,0.000000,0.000000,25.000000,3.000000,30.000000
1.262500,1.000000,1.000000,1.000000,20.000000,7.000000,30.000000
1.267500,0.000000,0.000000,3.000000,22.000000,1.000000,26.000000
1.272500,2.000000,0.000000,0.000000,12.000000,3.000000,17.000000
1.277500,1.000000,0.000000,1.000000,19.000000,4.000000,25.000000
1.282500,0.000000,1.000000,0.000000,20.000000,2.000000,23.000000
1.287500,0.000000,0.000000,3.000000,18.000000,2.000000,23.000000
1.292500,1.000000,2.000000,2.000000,22.000000,1.000000,28.000000
1.297500,0.000000,0.000000,1.000000,24.000000,4.000000,29.000000
1.302500,1.000000,1.000000,1.000000,23.000000,6.000000,32.000000
1.307500,1.000000,0.000000,1.000000,11.000000,5.000000,18.000000
1.312500,1.000000,1.000000,1.000000,23.000000,4.000000,30.000000
1.317500,2.000000,2.000000,0.000000,16.000000,0.000000,20.000000
1.322500,0.000000,1.000000,1.000000,20.000000,5.000000,27.000000
1.327500,0.000000,0.000000,1.000000,15.000000,2.000000,18.000000
1.332500,0.000000,0.000000,3.000000,21.000000,2.000000,26.000000
1.337500,1.000000,1.000000,1.000000,18.000000,2.000000,23.000000
1.342500,1.000000,1.000000,1.000000,19.000000,2.000000,24.000000
1.347500,1.000000,1.000000,1.000000,27.000000,1.000000,31.000000
1.352500,0.000000,1.000000,0.000000,24.000000,1.000000,26.000000
1.357500,1.000000,2.000000,0.000000,30.000000,0.000000,33.000000
1.362500,1.000000,0.000000,1.000000,25.000000,1.000000,28.000000
1.367500,0.000000,0.000000,3.000000,16.000000,5.000000,24.000000
1.372500,0.000000,0.000000,0.000000,23.000000,3.000000,26.000000
1.377500,1.000000,0.000000,2.000000,19.000000,2.000000,24.000000
1.382500,0.000000,0.000000,2.000000,27.000000,2.000000,31.000000
1.387500,1.000000,1.000000,1.000000,15.000000,2.000000,20.000000
1.392500,2.000000,0.000000,2.000000,27.000000,3.000000,34.000000
1.397500,0.000000,1.000000,1.000000,19.000000,2.000000,23.000000
1.402500,0.000000,2.000000,1.000000,27.000000,2.000000,32.000000
1.407500,0.000000,0.000000,2.000000,32.000000,2.000000,36.000000
1.412500,0.000000,1.000000,1.000000,37.000000,3.000000,42.000000
1.417500,0.000000,0.000000,1.000000,13.000000,4.000000,18.000000
1.422500,2.000000,0.000000,1.000000,26.000000,0.000000,29.000000
1.427500,0.000000,1.000000,0.000000,27.000000,3.000000,31.000000
